16:55:31 : DEBUG | Received self id : f5fa3648bc
16:55:34 : DEBUG | Spawning projectile with id : ceef8d01c3
16:55:34 : MAJOR | [Polymorph Engine] Object reference not set to an instance: this maybe occurs because you need to set a reference in configuration or in interface.
16:55:34 : MAJOR | [Polymorph Engine] Object reference not set to an instance: this maybe occurs because you need to set a reference in configuration or in interface.
16:55:35 : MAJOR | [Polymorph Engine] Object reference not set to an instance: this maybe occurs because you need to set a reference in configuration or in interface.
16:55:36 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:36 : DEBUG | Spawning projectile with id : 92e719491b
16:55:36 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:36 : DEBUG | Spawning projectile with id : 92e719491b
16:55:36 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
16:55:36 : DEBUG | Spawning mob with id : 811dc6c3b8
16:55:36 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
16:55:36 : DEBUG | Spawning mob with id : 811dc6c3b8
16:55:36 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:36 : DEBUG | Spawning projectile with id : cdb2e87200
16:55:36 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:36 : DEBUG | Spawning projectile with id : cdb2e87200
16:55:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:37 : DEBUG | Spawning projectile with id : 3d9d4f2c1e
16:55:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:37 : DEBUG | Spawning projectile with id : 3d9d4f2c1e
16:55:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:37 : DEBUG | Spawning projectile with id : 3421740ef9
16:55:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:37 : DEBUG | Spawning projectile with id : 3421740ef9
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : 55eea4a832
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : 55eea4a832
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : cc89904e1c
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : cc89904e1c
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : 3ba90e0947
16:55:38 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:38 : DEBUG | Spawning projectile with id : 3ba90e0947
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 8e8ec5fca5
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 8e8ec5fca5
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : ba66d1e53f
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : ba66d1e53f
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 40f4017a67
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 40f4017a67
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : e8f9f2017b
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : e8f9f2017b
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 726f6613f7
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : 726f6613f7
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : f51d257e48
16:55:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:39 : DEBUG | Spawning projectile with id : f51d257e48
